content,rate,date
['빠른배송 깔끔한포장 좋아요'],5,22.04.07.
['일단 강력하게 붙는듯합니다. 오래가길 …'],5,22.03.16.
"['빠른배송감사합니다. ', '앞으로 잘사용할께요. ', '많이파세요.']",5,22.03.19.
['배송도 빠르고 좋아요~'],5,22.03.30.
['배송도 빠르고  아직 써보기전이지만  포장도 깔끔하니 마음에듭니다'],5,22.04.10.
['사용전이라 일단 별하나 비워둡니다 ^^;;'],4,22.03.15.
['성능 최고입니다 👍'],5,22.04.06.
['당일 배송 감사합니다.'],5,22.04.04.
['효과가 있는지 잘 모르겠어요...'],2,22.03.29.
['몬스터겔 언제나 믿고 씁니다'],5,22.03.27.
['벽에 붙힌 공유기가 자꾸 떼져서 주문해봤어요 안떨어졌음 좋겠네요ㅠㅠ'],5,22.02.27.
['만족합니다.. 접착력 좋음'],4,22.03.01.
['좋아요 가격이 좀 저렴하면 좋게ㅣㅆ어요'],5,22.03.23.
['아직사용을 못했지만 다른게 믿음이 가니까 이것도 뭐 좋겠지요^^'],5,22.03.11.
"['더단단히고정된다고해서샀어요 ', '매트고정했고', '청소기로 청소해도  끄떡없네요']",5,22.02.13.
['냄새가  너무 많이나서  별로예요'],3,22.03.09.
"['고정력이 좋네요!', '더 잘 붙어서 오래가는것 같아요']",5,22.02.10.
['잘 붙어 있네요 ㅎㅎ'],5,22.03.14.
['아무래도 저온이나 요철있는 면에는 사용하는것이 더 좋을것같아 구매했습니다. 좋네요'],5,22.02.04.
['감사합니다 많이 파세요'],5,22.03.03.
['빠른배송 깔끔한포장 좋아요'],5,22.04.07.
['일단 강력하게 붙는듯합니다. 오래가길 …'],5,22.03.16.
"['빠른배송감사합니다. ', '앞으로 잘사용할께요. ', '많이파세요.']",5,22.03.19.
['배송도 빠르고 좋아요~'],5,22.03.30.
['배송도 빠르고  아직 써보기전이지만  포장도 깔끔하니 마음에듭니다'],5,22.04.10.
['사용전이라 일단 별하나 비워둡니다 ^^;;'],4,22.03.15.
['성능 최고입니다 👍'],5,22.04.06.
['당일 배송 감사합니다.'],5,22.04.04.
['효과가 있는지 잘 모르겠어요...'],2,22.03.29.
['몬스터겔 언제나 믿고 씁니다'],5,22.03.27.
['벽에 붙힌 공유기가 자꾸 떼져서 주문해봤어요 안떨어졌음 좋겠네요ㅠㅠ'],5,22.02.27.
['만족합니다.. 접착력 좋음'],4,22.03.01.
['좋아요 가격이 좀 저렴하면 좋게ㅣㅆ어요'],5,22.03.23.
['아직사용을 못했지만 다른게 믿음이 가니까 이것도 뭐 좋겠지요^^'],5,22.03.11.
"['더단단히고정된다고해서샀어요 ', '매트고정했고', '청소기로 청소해도  끄떡없네요']",5,22.02.13.
['냄새가  너무 많이나서  별로예요'],3,22.03.09.
"['고정력이 좋네요!', '더 잘 붙어서 오래가는것 같아요']",5,22.02.10.
['잘 붙어 있네요 ㅎㅎ'],5,22.03.14.
['아무래도 저온이나 요철있는 면에는 사용하는것이 더 좋을것같아 구매했습니다. 좋네요'],5,22.02.04.
['감사합니다 많이 파세요'],5,22.03.03.
"['상품잘받았습니다', '배송빨라요~']",5,22.02.09.
['빠른 배송 언제나 믿고 붙이는 몬스타게루!'],5,22.02.25.
['그냥 그남  쓸 만해요...'],4,22.03.02.
['좋아요~~~~~~~'],5,22.02.12.
['배송 빨라 좋았는데 아직 사용은 안해봤어요. 잘 붙을거라 믿고 잘 쓰겠습니다.'],5,22.01.12.
['잘 받았습니다 감사합니다'],5,22.01.26.
['유지력기대해보렵니다'],5,22.02.15.
['빠른 배송감사합니다!'],5,22.01.24.
"['잘 받았습니다', '아직 미사용 입니다']",5,22.01.21.
['좋은 제품 잘 사용하고 있습니다.'],5,22.02.10.
['배송도 빠르고 좋아요'],5,22.01.20.
['상품 잘 받았습니다.'],5,22.01.17.
['이게 본드가 아니었네요 실크벽지를 닦고 붙여봤는데 튼튼합니다'],5,22.01.22.
['확실히 프라이머 사용하니 벽에는 잘붙어요'],5,22.01.30.
['좋은 제품 잘 받았습니다.'],5,22.01.11.
['적당한 것 같아요 잘 붙어 있어요'],5,21.12.31.
['아직 사용 전인데 다른 제품들 일단 맘에 들어서 이것도 잘 사용할것 같아요.'],5,22.01.12.
['거진 1회용이네요 너무 비싸다는 느낌이 많이 듭니다'],2,21.12.17.
"['애들 신발주머니 걸려고 붙여 놨는데, 강력접착제나 글루건까지도 써봤는데, 계속 떨어지네요;;', '프라이머 써서 몬스터겔로 붙였는데, 아직까지 잘 붙어 있습니다 ㅎ']",5,21.12.02.
['빠른배송 감사합니다'],5,22.01.13.
['잘사용하게습니다 수고하세요 빠른 배송 감사합니다'],5,21.12.10.
['늘 쓰던제품이라 재구매합니다.'],5,21.12.17.
['배송도 빠르고 너무 좋아요'],5,21.12.10.
['잘 받았습니다...'],5,22.01.05.
['몬스타 겔을 써도 계속 떨어져서 몬스타 겔만 바꾸다가 겔도 다 떨어지고 -- 너무 짜증나서 구매했는데 진짜 너무 좋아요 바른 부분이 엄청 매끄러워지는데 겔 붙이면 진짜 안떨어져요!!'],5,21.11.25.
['전에꺼가 안붙어서 두문해봤어요'],3,21.12.26.
['좋은 상품 빠른배송 감사합니다.'],5,21.12.26.
"['잘받았어요', '강력하면 좋겠어요']",5,21.12.15.
['양면테이프 붙히기전에 사용하면 효과 정말대박이네요'],5,21.11.19.
['아직잘붙어있고읻을만해여'],4,21.12.11.
['기대하고 있습니다~^^'],5,21.11.18.
['클리어겔 접착력이 좋지 않은데 이거 사요하면 접착력 좋아져요'],5,21.11.07.
"['생각보다 작네요 사이즈가 ㅎ', '잘만 붙으면야 상관 없지만 ㅎ']",4,21.11.17.
"['잘사용하고있습니다', '감사합니다']",5,21.11.25.
['아직 써보진 않았지만 빠른배송감사합니다 잘 써보겠습니다'],5,21.10.30.
['프라이머 사용하니 확실히 접착력이 좋아요'],5,21.11.16.
['사실 이걸 칠해서인지 아닌지 잘 모르깄지만 튼튼하게 잘 붙어 있어 좋습니다'],4,21.10.21.
"['아직 사용 안해봐서,,,,']",4,21.11.14.
['오염이 심한곳이 아니고선 굳이 돈을 주고 살필요는 없을 듯 합니다'],3,21.11.02.
['의심했는데 잘 붙네요 ㅎㅎ'],5,21.11.09.
['아직 써보진 않았지만 좋겠죠 뭐'],5,21.10.16.
['상품 배송 만족합니다 접착 증진제 냄새가 좀 심하지만 효과 좋아요'],5,21.10.08.
"['안그래도 강력한데 접착증진제쓰면', '안정적인 부착될거같아 구매했습니다.!']",5,21.10.06.
['만족합니다 좋읍니다 감사합니다'],5,21.10.08.
"['바르고,1분후에 붙히니, 안떨어지네요.. 위치를 수정하고싶어도 안떨어져요...ㅎㅎ;;']",5,21.10.08.
['아직 미사용 좋겠죠'],5,21.10.16.
['빠른배송감사드리며 사업번창하세요ᆢ'],5,21.09.12.
['3땡 타사 제품 쓰다 가격두 저렴하고 평이 좋아 구매했네요.사뇽해보구 쓸만하면 이제품으러 갈아 타야겠네요'],5,21.08.21.
['아주마음에들어요!!'],5,21.09.30.
"['잘 떨어지신다는 분들의 후기 가 있어 걱정했는데.. 너무 좋습니다. ', '', '활용도도 많구요..^^', '', '감사합니다~ 좋아요 좋아~']",5,21.08.20.
"['잘 떨어지신다는 분들의 후기 가 있어 걱정했는데.. 너무 좋습니다. ', '', '활용도도 많구요..^^', '', '감사합니다~ 좋아요 좋아~']",5,21.08.20.
['사용법대로 사용했는데 제품이 떨어졌어요............'],2,21.09.24.
['빠른배송 만족합니다.'],5,21.09.24.
['더 질 부착되게끔 도와줘서 좋아요'],5,21.09.20.
['저번에 사장님 보내주신 상품을 사용해봤는데 좋아서 구매했어요'],4,21.09.10.
"['이거 해도 소용 없어요', '다 떨어짐', '제발 다들 돈 아끼셔요...']",1,21.09.15.
['블랙 구매했는데 무게가 조금 있어 접착제도 구매 했어요'],5,21.09.07.
['아직 사용전이지만 더 잘 붙는다고 해서 샀습니다'],5,21.09.07.
['잘받았어요. 잘붙길 바라며 ㅎ'],4,21.08.09.
['주변이 깨끗해져서 넘 좋아요 ~~'],5,21.08.04.
['빠른 배송 감사합니다'],5,21.09.01.
['접착이 더 잘되요.'],5,21.08.12.
['친절한 상담 감사합니다'],5,21.08.27.
['ㅐ배ㅑ땨ㅓ유튱너자ㅓ더대쟈덩윤나ㅜ무대너유ㅗㅇ더ㅏㄴ'],5,21.09.21.
['잘 받았습니다. 좋아요'],5,21.08.25.
['제품 잘 받았습니다^^*'],5,21.08.04.
['신랑이 주문했어요 ㅎㅎ'],5,21.08.23.
['자동차 용품에 필요해서 붙였는데 아주 잘붙어요^^'],5,21.08.14.
['배송 빠르고 좋습니다'],5,21.08.19.
['잘쓰고 있숩니더 배송빠름빠름'],5,21.07.29.
['사용전이지만 구매평이 좋아  기대하고 있습니다~'],5,21.07.21.
['빠른 배송감사합니다.'],5,21.08.14.
['빠른배송 감사합니다.'],5,21.07.25.
['되게 좋네요 감사합니다'],5,21.07.18.
['자동차 몰딩에 양면테입이 있지만 이제품을 위에 덧칠하면 효과과 더욱더 견고하게 붙는다 하여 구매하였습니다'],5,21.06.30.
"['만족합니다^^', '빠른배송 감사합니다']",5,21.07.27.
['너무 잘 붙게 해주네요'],5,21.07.29.
['접착력이 아주 그냥 죽여줘요.'],5,21.06.30.
['아직 쓰기전이지만 차에서 쓰려고샀어요'],5,21.07.04.
['사용하기 편리하고 좋습니다.'],5,21.07.22.
['냄새는 강해서 싫지만 접착력은 월등히 올라갑니다'],5,21.06.24.
['완전 짱인듯요.. 시계 걸기위해 구입했어요.  아이디어가 좋은 상품인것 같아요.'],5,21.07.07.
['욕실엔 실패했어요 ㅎㅎ 드라마틱 하진 않아요. 효과가... 주방 선반에서도 떨어집니다.'],4,21.07.04.
"['프라이머 몇장 사는기 매상에 도움 안되는가, 포장 터진걸 보내주시네요^^ 에고고 죄송해라... 다음엔 프라이머 없이는 잘 붙지도 않는 양면테이프를 같이 사야겠어요^^ 그러면 프라이머도 포장 잘된걸루 보내주시겠죠?^^']",1,21.05.29.
['잘붙어있어요 냄새는 많이 ㄴㄱㆍ요'],5,21.07.22.
"['차량 마그네틱 거치대가 떨어져서 구매했어요', '잘붙어 있네요!! 잘산것 같습니다', '많이 파세요']",5,21.06.27.
"['깔끔한 포장이 좋았습니다.', '아직 프라이머를 따로 쓰지는 않았지만 ,', '그냥 낱개로 달랑 주는 느낌이 아니라 ', '이것 또한 하나의 상품이라는 느낌처럼', '포장 잘 해서 주셔서 대접 받는 느낌이었어요!']",5,21.05.22.
['신기하네요. 알콜솜처럼 생겼는데 벽에 쓱쓱 문지르고 마른 다음에 양면테잎 붙이니 안떨어지고 잘 붙어있습니다'],5,21.06.18.
['붙일 곳에 먼저 닦아내고 쓸 수 잇어 좋아요'],5,21.06.09.
['프라이머는 아직 사용전이지만 그냥 저냥 만족하며 사용할듯하네요.'],4,21.06.24.
['잘붙어주네요~ 배송비가더나가요 ㅠㅠ'],5,21.06.21.
['배송빠르고 상품 안전히 잘받았어요!'],5,21.05.29.
['상품 배송 만족합니다 접착력 좋아 재구매해요'],5,21.05.24.
['계속 떨어져서 걸리적거렸는데 이덩도는 안떨어지네요..ㅎ 아직 한군데밖에 못써봤는데  떨어진다는 후기들이 있어서 조금 걱정이 되긴하지만 안떨어지길 바래봅니다..여러군데 더 써보면 알겠죠..'],5,21.05.05.
['빠루배송감사합니다!'],5,21.06.06.
"['빠른 배송 정말 감사합니다.', '제품도 아주 튼튼하고 만족스럽네요 ', '번창하세요 ', '', '감사합니다.']",5,21.05.20.
['잘붙어서 좋아요 잘붙어요'],5,21.06.17.
['이뻐요 깜끔하고 좋아요'],5,21.05.20.
['아직사용전이지만 효과가 있을거라 믿어요'],5,21.04.14.
['함께 구입 몬스터 겔과'],5,21.03.30.
['생각했던대로 괜찮아요.'],4,21.03.26.
['가이드 붙이려고 주문해서 잘 썼습니다'],5,21.03.13.
['몬스터갤이랑 조합해서 썼는데 효과없음.'],1,21.03.11.
['배송이 빨라 좋았어요~ 잘 붙길 바래요^^'],5,21.03.15.
['상당히 잘버텨주고 좋아요'],5,21.03.08.
['배송 빠르고 잘붙였어요'],5,21.03.07.
['항상 믿고 구매합니다!!두터운 실리콘소재의 양면테이프 말고 되게 얇은 테이프도 만들어주세요ㅠㅠ'],5,21.02.19.
['양면테이프 쓰기 전에 사용하기 좋아여'],5,21.02.27.
"['계속떨어지는 블랙박스때문에 구매했고', '저번 구매 후기 남기면서 안떨어지길 바랬는데 !', '아직 잘 붙어있습니다. 만족도 최고최고!!!!', '', '블랙박스 처음 구매했을때 기사님이 설치해주시고 여유분 하나들어있던 양면테이프 3M도 안되고... 다이소에서 산 초강력도 안되고..... 별도로 구매한 3M양면 테이프도 안되었는데 !!', '', '좋은 제품 감사합니다~', '※프라이머 함께 사용했습니다']",5,21.01.24.
['후기보고 산걸 후회합니다'],1,21.01.27.
['아직 날이 추워서 봄에 사용해 봐야 할 것 같아요'],5,21.02.09.
['여기제품은 만족도가 매우 높아요'],5,21.02.11.
['아직 사용 전이예요. 접착력 떨어질 때 사용해봐야겠어요 :-)'],5,21.02.02.
['유분기 제거 잘됩니다~'],5,21.01.22.
['잘 쓰고 있어요 ㅎㅎㅎ'],5,21.02.14.
['아직 쓰기 전이지만 접착력이 좋길 바래봅니다'],5,21.01.11.
"['좋아요 더 잘붙으라고 샀는데', '떨어지지 않으니 좋은거 겠죠', '굿 입니다!']",5,20.12.31.
['만족합니다 만족합니다'],5,21.02.24.
['이걸로 닦고 붙이니까 뭔가 착붙 느낌이에요. 안떨지기를.. 기대해봅니다'],5,21.01.18.
['상품좋고 배송빨라요'],5,21.01.28.
['좋은 제품 감사합니다'],5,21.01.27.
['계속 떨어지건 블랙박스가 드디어 고정되었습니다 오래 지속되길 기대해봅니다'],5,20.12.25.
['좋은제품감사합니다^^'],5,21.01.04.
['아직 사용전이지만  잘 사용해 볼께요~'],5,21.01.19.
['유분제거용이겠죠? 잘부착되기를'],5,20.12.22.
['아직 써보진 안았는데 잘됐으면 하네요'],5,20.12.24.
['빠른배송이  좋았어요  아직 사용은 안했는데'],3,21.01.05.
['사용방법이 애매해서 사용 고민 중입니다.'],4,20.12.21.
['더 튼튼하게 붙는다고 해서 구매했어요~'],5,21.01.06.
['부착력이 끝내줍니다'],5,21.01.06.
['몬겔만 쓸때는 간혹 접착력이 떨어지는 벽면이 소재가 있는데 이 제품을 사용하면 도움이 될것이라고 기대합니다.'],5,20.12.03.
['용도에 맞게 잘사용해서 진행했습니다'],5,20.12.11.
['쓰는게좋겠조ㅡ 아무리ㅣㅣㄷᆞ'],4,21.01.12.
['좋을꺼 같습니다..'],5,21.01.05.
['냄새는 좀있는데 접착제 붙이는부분에 더 획실히밀착되게해주네요'],5,20.12.13.
['잘 받았습니다 많이 파세요'],5,20.12.08.
['아직 사용전이라 잘몰라요'],3,20.11.07.
['강력하게잘붙어서좋은상품이네요'],5,20.11.16.
['접착력 좋습니다 다음에도 구매할거같아요'],5,20.11.14.
['만족하는 제품입니다.'],5,20.11.14.
['좋은 제품 감사합니다'],5,21.01.27.
['계속 떨어지건 블랙박스가 드디어 고정되었습니다 오래 지속되길 기대해봅니다'],5,20.12.25.
['좋은제품감사합니다^^'],5,21.01.04.
['아직 사용전이지만  잘 사용해 볼께요~'],5,21.01.19.
['유분제거용이겠죠? 잘부착되기를'],5,20.12.22.
['아직 써보진 안았는데 잘됐으면 하네요'],5,20.12.24.
['빠른배송이  좋았어요  아직 사용은 안했는데'],3,21.01.05.
['사용방법이 애매해서 사용 고민 중입니다.'],4,20.12.21.
['더 튼튼하게 붙는다고 해서 구매했어요~'],5,21.01.06.
['부착력이 끝내줍니다'],5,21.01.06.
['몬겔만 쓸때는 간혹 접착력이 떨어지는 벽면이 소재가 있는데 이 제품을 사용하면 도움이 될것이라고 기대합니다.'],5,20.12.03.
['용도에 맞게 잘사용해서 진행했습니다'],5,20.12.11.
['쓰는게좋겠조ㅡ 아무리ㅣㅣㄷᆞ'],4,21.01.12.
['좋을꺼 같습니다..'],5,21.01.05.
['냄새는 좀있는데 접착제 붙이는부분에 더 획실히밀착되게해주네요'],5,20.12.13.
['잘 받았습니다 많이 파세요'],5,20.12.08.
['아직 사용전이라 잘몰라요'],3,20.11.07.
['강력하게잘붙어서좋은상품이네요'],5,20.11.16.
['접착력 좋습니다 다음에도 구매할거같아요'],5,20.11.14.
['만족하는 제품입니다.'],5,20.11.14.
